ID    NODE LAT     NODE LON     FRIENDS LIST                           CENTROID COORD LIST 
34      31.7174744  108.0000000 {  358,  354,  357,  356,  355,  359}, {(  28.9972386,  103.0177079), (  34.2326136,  102.7283595), (  36.9643990,  108.0000000), (  34.2326136,  113.2716405), (  28.9972386,  112.9822921), (  26.4705499,  108.0000000)} 
35       0.0000000  162.0000000 {  365,  364,  360,  363,  362,  361}, {( -2.7556799,  157.5332519), (  2.3256323,  157.4750458), (  5.0861522,  161.9400795), (  2.7556799,  166.4667481), ( -2.3256323,  166.5249542), ( -5.0861522,  162.0599205)} 
36      -0.0000000  126.0000000 {  367,  368,  369,  366,  370,  371}, {( -2.3256323,  121.4750458), (  2.7556799,  121.5332519), (  5.0861522,  126.0599205), (  2.3256323,  130.5249542), ( -2.7556799,  130.4667481), ( -5.0861522,  125.9400795)} 
37     -31.7174744  216.0000000 {  374,  372,  377,  376,  373,  375}, {( -34.2326136,  210.7283595), ( -28.9972386,  211.0177079), ( -26.4705499,  216.0000000), ( -28.9972386,  220.9822921), ( -34.2326136,  221.2716405), ( -36.9643990,  216.0000000)} 
38     -31.7174744  144.0000000 {  380,  379,  383,  382,  378,  381}, {( -34.2326136,  138.7283595), ( -28.9972386,  139.0177079), ( -26.4705499,  144.0000000), ( -28.9972386,  148.9822921), ( -34.2326136,  149.2716405), ( -36.9643990,  144.0000000)} 
39     -31.7174744  288.0000000 {  387,  384,  389,  388,  385,  386}, {( -34.2326136,  282.7283595), ( -28.9972386,  283.0177079), ( -26.4705499,  288.0000000), ( -28.9972386,  292.9822921), ( -34.2326136,  293.2716405), ( -36.9643990,  288.0000000)} 
40     -31.7174744    0.0000000 {  392,  390,  395,  394,  391,  393}, {( -34.2326136,  354.7283595), ( -28.9972386,  355.0177079), ( -26.4705499,  0.0000000), ( -28.9972386,  4.9822921), ( -34.2326136,  5.2716405), ( -36.9643990,  0.0000000)} 
41     -31.7174744   72.0000000 {  398,  396,  401,  400,  397,  399}, {( -34.2326136,  66.7283595), ( -28.9972386,  67.0177079), ( -26.4705499,  72.0000000), ( -28.9972386,  76.9822921), ( -34.2326136,  77.2716405), ( -36.9643990,  72.0000000)} 
42      75.3874514  216.0000000 {  404,  402,  162,  403,  405,  222}, {(  74.7573147,  196.6881920), (  79.2526641,  202.9031072), (  79.2526641,  229.0968928), (  74.7573147,  235.3118080), (  71.0908801,  223.9251149), (  71.0908801,  208.0748851)} 
43      75.3874514  144.0000000 {  408,  406,  163,  402,  407,  228}, {(  74.7573147,  124.6881920), (  79.2526641,  130.9031072), (  79.2526641,  157.0968928), (  74.7573147,  163.3118080), (  71.0908801,  151.9251149), (  71.0908801,  136.0748851)} 
44      75.3874514   72.0000000 {  411,  409,  164,  406,  410,  234}, {(  74.7573147,  52.6881920), (  79.2526641,  58.9031072), (  79.2526641,  85.0968928), (  74.7573147,  91.3118080), (  71.0908801,  79.9251149), (  71.0908801,  64.0748851)} 
45      75.3874514    0.0000000 {  414,  412,  165,  409,  413,  240}, {(  74.7573147,  340.6881920), (  79.2526641,  346.9031072), (  79.2526641,  13.0968928), (  74.7573147,  19.3118080), (  71.0908801,  7.9251149), (  71.0908801,  352.0748851)} 
46      75.3874514  288.0000000 {  415,  403,  166,  412,  416,  246}, {(  74.7573147,  268.6881920), (  79.2526641,  274.9031072), (  79.2526641,  301.0968928), (  74.7573147,  307.3118080), (  71.0908801,  295.9251149), (  71.0908801,  280.0748851)} 
47     -75.3874514  324.0000000 {  418,  420,  252,  419,  417,  167}, {( -74.7573147,  304.6881920), ( -71.0908801,  316.0748851), ( -71.0908801,  331.9251149), ( -74.7573147,  343.3118080), ( -79.2526641,  337.0968928), ( -79.2526641,  310.9031072)} 
48     -75.3874514   36.0000000 {  417,  422,  258,  423,  421,  168}, {( -74.7573147,  16.6881920), ( -71.0908801,  28.0748851), ( -71.0908801,  43.9251149), ( -74.7573147,  55.3118080), ( -79.2526641,  49.0968928), ( -79.2526641,  22.9031072)} 
49     -75.3874514  108.0000000 {  421,  425,  264,  426,  424,  169}, {( -74.7573147,  88.6881920), ( -71.0908801,  100.0748851), ( -71.0908801,  115.9251149), ( -74.7573147,  127.3118080), ( -79.2526641,  121.0968928), ( -79.2526641,  94.9031072)} 
50     -75.3874514  180.0000000 {  424,  428,  270,  429,  427,  170}, {( -74.7573147,  160.6881920), ( -71.0908801,  172.0748851), ( -71.0908801,  187.9251149), ( -74.7573147,  199.3118080), ( -79.2526641,  193.0968928), ( -79.2526641,  166.9031072)} 
51     -75.3874514  252.0000000 {  171,  427,  431,  276,  430,  418}, {( -79.2526641,  238.9031072), ( -74.7573147,  232.6881920), ( -71.0908801,  244.0748851), ( -71.0908801,  259.9251149), ( -74.7573147,  271.3118080), ( -79.2526641,  265.0968928)} 
52      41.1775998  216.0000000 {  432,  434,  223,  435,  433,  172}, {(  40.7985750,  209.4047768), (  45.2484260,  212.3612334), (  45.2484260,  219.6387666), (  40.7985750,  222.5952232), (  37.0004884,  219.0329488), (  37.0004884,  212.9670512)} 
53      14.4890834  224.8100037 {  438,  436,  173,  437,  439,  282}, {(  11.9016947,  220.4251184), (  16.6023009,  220.3431441), (  19.2783134,  224.5873167), (  17.3167267,  229.0877394), (  12.3751541,  229.3064543), (  9.6326310,  224.8991441)} 
54      14.4890834  207.1899963 {  288,  442,  440,  174,  436,  441}, {(  12.3751541,  202.6935457), (  17.3167267,  202.9122606), (  19.2783134,  207.4126833), (  16.6023009,  211.6568559), (  11.9016947,  211.5748816), (  9.6326310,  207.1008559)} 
55      30.1640017  199.8882666 {  444,  294,  443,  432,  175,  440}, {(  28.2802739,  194.7574527), (  33.3534810,  195.5783732), (  35.0309621,  201.2047889), (  31.7028909,  205.1822177), (  26.9764905,  203.9667017), (  25.2201576,  199.1100945)} 
56      30.1640017  232.1117334 {  437,  176,  433,  445,  300,  446}, {(  26.9764905,  228.0332983), (  31.7028909,  226.8177823), (  35.0309621,  230.7952111), (  33.3534810,  236.4216268), (  28.2802739,  237.2425473), (  25.2201576,  232.8899055)} 
57      41.1775998  288.0000000 {  447,  449,  247,  450,  448,  177}, {(  40.7985750,  281.4047768), (  45.2484260,  284.3612334), (  45.2484260,  291.6387666), (  40.7985750,  294.5952232), (  37.0004884,  291.0329488), (  37.0004884,  284.9670512)} 
58      30.1640017  271.8882666 {  453,  301,  452,  447,  178,  451}, {(  28.2802739,  266.7574527), (  33.3534810,  267.5783732), (  35.0309621,  273.2047889), (  31.7028909,  277.1822177), (  26.9764905,  275.9667017), (  25.2201576,  271.1100945)} 
59      14.4890834  296.8100037 {  456,  454,  179,  455,  457,  306}, {(  11.9016947,  292.4251184), (  16.6023009,  292.3431441), (  19.2783134,  296.5873167), (  17.3167267,  301.0877394), (  12.3751541,  301.3064543), (  9.6326310,  296.8991441)} 
60      14.4890834  279.1899963 {  312,  458,  451,  180,  454,  459}, {(  12.3751541,  274.6935457), (  17.3167267,  274.9122606), (  19.2783134,  279.4126833), (  16.6023009,  283.6568559), (  11.9016947,  283.5748816), (  9.6326310,  279.1008559)} 
