ID    NODE_LAT     NODE_LON     FRIENDS LIST                          CENTROID COORD LIST
37    -31.723007   216.000000   { 140,   85,  122,  119,   80,  138}, {(-26.444451, 226.100236), (-36.115262, 227.207864), (-41.814943, 216.000000), (-36.115262, 204.792136), (-26.444451, 205.899764), (-21.628872, 216.000000)} 
38    -31.723007   144.000000   { 160,   81,  120,  130,  100,  161}, {(-26.444451, 154.100236), (-36.115262, 155.207864), (-41.814943, 144.000000), (-36.115262, 132.792136), (-26.444451, 133.899764), (-21.628872, 144.000000)} 
39    -31.723007   288.000000   { 146,   90,  125,  123,   86,  144}, {(-26.444451, 298.100236), (-36.115262, 299.207864), (-41.814943, 288.000000), (-36.115262, 276.792136), (-26.444451, 277.899764), (-21.628872, 288.000000)} 
40    -31.723007     0.000000   { 152,   95,  128,  126,   91,  150}, {(-26.444451,  10.100236), (-36.115262,  11.207864), (-41.814943,   0.000000), (-36.115262, 348.792136), (-26.444451, 349.899764), (-21.628872,   0.000000)} 
41    -31.723007    72.000000   { 158,  101,  131,  129,   96,  156}, {(-26.444451,  82.100236), (-36.115262,  83.207864), (-41.814943,  72.000000), (-36.115262,  60.792136), (-26.444451,  61.899764), (-21.628872,  72.000000)} 
42     75.455477   216.000000   {  43,  102,   12,  103,   46,    0}, {( 73.528954, 252.000000), ( 66.863227, 228.446384), ( 66.863227, 203.553616), ( 73.528954, 180.000000), ( 82.433571, 180.000000), ( 82.433571, 252.000000)} 
43     75.455477   288.000000   {  44,  106,   13,  102,   42,    0}, {( 73.528954, 324.000000), ( 66.863227, 300.446384), ( 66.863227, 275.553616), ( 73.528954, 252.000000), ( 82.433571, 252.000000), ( 82.433571, 324.000000)} 
44     75.455477     0.000000   {   0,   45,  109,   14,  106,   43}, {( 82.433571,  36.000000), ( 73.528954,  36.000000), ( 66.863227,  12.446384), ( 66.863227, 347.553616), ( 73.528954, 324.000000), ( 82.433571, 324.000000)} 
45     75.455477    72.000000   {   0,   46,  112,   15,  109,   44}, {( 82.433571, 108.000000), ( 73.528954, 108.000000), ( 66.863227,  84.446384), ( 66.863227,  59.553616), ( 73.528954,  36.000000), ( 82.433571,  36.000000)} 
46     75.455477   144.000000   {   0,   42,  103,   16,  112,   45}, {( 82.433571, 180.000000), ( 73.528954, 180.000000), ( 66.863227, 156.446384), ( 66.863227, 131.553616), ( 73.528954, 108.000000), ( 82.433571, 108.000000)} 
47    -75.455477   180.000000   { 117,   48,    1,   51,  118,   17}, {(-73.528954, 216.000000), (-82.433571, 216.000000), (-82.433571, 144.000000), (-73.528954, 144.000000), (-66.863227, 167.553616), (-66.863227, 192.446384)} 
48    -75.455477   252.000000   { 121,   49,    1,   47,  117,   18}, {(-73.528954, 288.000000), (-82.433571, 288.000000), (-82.433571, 216.000000), (-73.528954, 216.000000), (-66.863227, 239.553616), (-66.863227, 264.446384)} 
49    -75.455477   324.000000   { 124,   50,    1,   48,  121,   19}, {(-73.528954,   0.000000), (-82.433571,   0.000000), (-82.433571, 288.000000), (-73.528954, 288.000000), (-66.863227, 311.553616), (-66.863227, 336.446384)} 
50    -75.455477    36.000000   { 127,   51,    1,   49,  124,   20}, {(-73.528954,  72.000000), (-82.433571,  72.000000), (-82.433571,   0.000000), (-73.528954,   0.000000), (-66.863227,  23.553616), (-66.863227,  48.446384)} 
51    -75.455477   108.000000   { 118,   47,    1,   50,  127,   21}, {(-73.528954, 144.000000), (-82.433571, 144.000000), (-82.433571,  72.000000), (-73.528954,  72.000000), (-66.863227,  95.553616), (-66.863227, 120.446384)} 
52     41.114523   216.000000   { 104,   53,    2,   54,  105,   12}, {( 39.353214, 228.446384), ( 32.593645, 221.270892), ( 32.593645, 210.729108), ( 39.353214, 203.553616), ( 48.980751, 208.586271), ( 48.980751, 223.413729)} 
53     30.157350   232.035371   { 104,   22,  132,   56,    2,   52}, {( 36.115262, 240.792136), ( 26.444451, 241.899764), ( 20.521191, 232.734482), ( 24.016282, 223.880215), ( 32.593645, 221.270892), ( 39.353214, 228.446384)} 
54     30.157350   199.964629   {  52,    2,   55,  134,   23,  105}, {( 32.593645, 210.729108), ( 24.016282, 208.119785), ( 20.521191, 199.265518), ( 26.444451, 190.100236), ( 36.115262, 191.207864), ( 39.353214, 203.553616)} 
55     14.548444   207.227645   {   2,   56,  136,   24,  134,   54}, {( 19.002001, 216.000000), ( 10.094975, 216.000000), (  5.110087, 206.929237), ( 10.261345, 198.612032), ( 20.521191, 199.265518), ( 24.016282, 208.119785)} 
56     14.548444   224.772355   {  53,  132,   25,  136,   55,    2}, {( 20.521191, 232.734482), ( 10.261345, 233.387968), (  5.110087, 225.070763), ( 10.094975, 216.000000), ( 19.002001, 216.000000), ( 24.016282, 223.880215)} 
57     41.114523   288.000000   { 108,   59,    3,   58,  107,   13}, {( 39.353214, 300.446384), ( 32.593645, 293.270892), ( 32.593645, 282.729108), ( 39.353214, 275.553616), ( 48.980751, 280.586271), ( 48.980751, 295.413729)} 
58     30.157350   271.964629   {  57,    3,   60,  133,   22,  107}, {( 32.593645, 282.729108), ( 24.016282, 280.119785), ( 20.521191, 271.265518), ( 26.444451, 262.100236), ( 36.115262, 263.207864), ( 39.353214, 275.553616)} 
59     30.157350   304.035371   { 108,   26,  141,   61,    3,   57}, {( 36.115262, 312.792136), ( 26.444451, 313.899764), ( 20.521191, 304.734482), ( 24.016282, 295.880215), ( 32.593645, 293.270892), ( 39.353214, 300.446384)} 
60     14.548444   279.227645   {   3,   61,  143,   27,  133,   58}, {( 19.002001, 288.000000), ( 10.094975, 288.000000), (  5.110087, 278.929237), ( 10.261345, 270.612032), ( 20.521191, 271.265518), ( 24.016282, 280.119785)} 
61     14.548444   296.772355   {  59,  141,   28,  143,   60,    3}, {( 20.521191, 304.734482), ( 10.261345, 305.387968), (  5.110087, 297.070763), ( 10.094975, 288.000000), ( 19.002001, 288.000000), ( 24.016282, 295.880215)} 
62     41.114523     0.000000   { 111,   64,    4,   63,  110,   14}, {( 39.353214,  12.446384), ( 32.593645,   5.270892), ( 32.593645, 354.729108), ( 39.353214, 347.553616), ( 48.980751, 352.586271), ( 48.980751,   7.413729)} 
63     30.157350   343.964629   {  62,    4,   65,  142,   26,  110}, {( 32.593645, 354.729108), ( 24.016282, 352.119785), ( 20.521191, 343.265518), ( 26.444451, 334.100236), ( 36.115262, 335.207864), ( 39.353214, 347.553616)} 
64     30.157350    16.035371   { 111,   29,  147,   66,    4,   62}, {( 36.115262,  24.792136), ( 26.444451,  25.899764), ( 20.521191,  16.734482), ( 24.016282,   7.880215), ( 32.593645,   5.270892), ( 39.353214,  12.446384)} 
65     14.548444   351.227645   {   4,   66,  149,   30,  142,   63}, {( 19.002001,   0.000000), ( 10.094975,   0.000000), (  5.110087, 350.929237), ( 10.261345, 342.612032), ( 20.521191, 343.265518), ( 24.016282, 352.119785)} 
66     14.548444     8.772355   {  64,  147,   31,  149,   65,    4}, {( 20.521191,  16.734482), ( 10.261345,  17.387968), (  5.110087,   9.070763), ( 10.094975,   0.000000), ( 19.002001,   0.000000), ( 24.016282,   7.880215)} 
67     41.114523    72.000000   { 114,   69,    5,   68,  113,   15}, {( 39.353214,  84.446384), ( 32.593645,  77.270892), ( 32.593645,  66.729108), ( 39.353214,  59.553616), ( 48.980751,  64.586271), ( 48.980751,  79.413729)} 
68     30.157350    55.964629   {  67,    5,   70,  148,   29,  113}, {( 32.593645,  66.729108), ( 24.016282,  64.119785), ( 20.521191,  55.265518), ( 26.444451,  46.100236), ( 36.115262,  47.207864), ( 39.353214,  59.553616)} 
69     30.157350    88.035371   { 114,   32,  153,   71,    5,   67}, {( 36.115262,  96.792136), ( 26.444451,  97.899764), ( 20.521191,  88.734482), ( 24.016282,  79.880215), ( 32.593645,  77.270892), ( 39.353214,  84.446384)} 
70     14.548444    63.227645   {   5,   71,  155,   33,  148,   68}, {( 19.002001,  72.000000), ( 10.094975,  72.000000), (  5.110087,  62.929237), ( 10.261345,  54.612032), ( 20.521191,  55.265518), ( 24.016282,  64.119785)} 
71     14.548444    80.772355   {  69,  153,   34,  155,   70,    5}, {( 20.521191,  88.734482), ( 10.261345,  89.387968), (  5.110087,  81.070763), ( 10.094975,  72.000000), ( 19.002001,  72.000000), ( 24.016282,  79.880215)} 
72     41.114523   144.000000   { 115,   73,    6,   74,  116,   16}, {( 39.353214, 156.446384), ( 32.593645, 149.270892), ( 32.593645, 138.729108), ( 39.353214, 131.553616), ( 48.980751, 136.586271), ( 48.980751, 151.413729)} 
73     30.157350   160.035371   { 115,   23,  135,   75,    6,   72}, {( 36.115262, 168.792136), ( 26.444451, 169.899764), ( 20.521191, 160.734482), ( 24.016282, 151.880215), ( 32.593645, 149.270892), ( 39.353214, 156.446384)} 
74     30.157350   127.964629   {  72,    6,   76,  154,   32,  116}, {( 32.593645, 138.729108), ( 24.016282, 136.119785), ( 20.521191, 127.265518), ( 26.444451, 118.100236), ( 36.115262, 119.207864), ( 39.353214, 131.553616)} 
75     14.548444   152.772355   {  73,  135,   35,  159,   76,    6}, {( 20.521191, 160.734482), ( 10.261345, 161.387968), (  5.110087, 153.070763), ( 10.094975, 144.000000), ( 19.002001, 144.000000), ( 24.016282, 151.880215)} 
76     14.548444   135.227645   {   6,   75,  159,   36,  154,   74}, {( 19.002001, 144.000000), ( 10.094975, 144.000000), (  5.110087, 134.929237), ( 10.261345, 126.612032), ( 20.521191, 127.265518), ( 24.016282, 136.119785)} 
